Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr),Step Count (count),Step Cadence (spm),Swim Stroke Count (count),Swim Stroke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2022-04-12 10:10,2022-04-12 11:08,00:58:45,709.69,709.69,167,142.33,,,945,0.268,,,,,
Traditional Strength Training,2022-04-11 14:34,2022-04-11 15:36,01:01:33,795.67,795.67,176,149.97,,,1343,0.364,,,,,
Walking,2022-04-09 11:20,2022-04-09 12:39,01:18:56,302.27,302.27,132,106.13,3.25,2.47,6693,1.41,,,,43.8,
Traditional Strength Training,2022-04-08 14:40,2022-04-08 15:34,00:53:43,636.72,636.72,166,142.05,,,1276,0.396,,,,,
Traditional Strength Training,2022-04-06 14:21,2022-04-06 15:16,00:55:09,650.48,650.48,162,140.66,,,1409,0.426,,,,,
Traditional Strength Training,2022-04-05 10:58,2022-04-05 11:46,00:47:49,533.22,533.22,163,135.05,,,877,0.306,,,,,
Traditional Strength Training,2022-04-04 14:37,2022-04-04 15:32,00:54:27,678.57,678.57,177,145.96,,,642,0.196,,,,,
Traditional Strength Training,2022-03-30 14:40,2022-03-30 15:32,00:51:56,674.56,674.56,188,152.52,,,1447,0.464,,,,,
Traditional Strength Training,2022-03-29 09:56,2022-03-29 11:00,01:03:26,709.84,709.84,162,137.46,,,1403,0.369,,,,,
Traditional Strength Training,2022-03-28 14:28,2022-03-28 15:28,01:00:00,614.55,614.55,151,130.4,,,1684,0.468,,,,,
Tennis,2022-03-27 15:32,2022-03-27 17:06,00:58:23,628.17,628.17,170,131.78,1.33,1.37,3389,0.967,,,,,
Walking,2022-03-26 14:04,2022-03-26 14:31,00:27:37,142.38,142.38,127,108.95,1.41,3.06,3164,1.91,,,3.0,32.09,
Walking,2022-03-26 12:57,2022-03-26 13:45,00:47:53,202.32,202.32,135,106.14,1.94,2.43,4559,1.59,,,1.0,38.32,
Traditional Strength Training,2022-03-23 14:44,2022-03-23 15:48,01:04:23,650.38,650.38,156,131.89,,,1555,0.402,,,,,
Walking,2022-03-23 11:37,2022-03-23 11:53,00:16:10,72.24,72.24,126,101.04,0.791,2.93,1498,1.54,,,2.0,,
Traditional Strength Training,2022-03-22 09:58,2022-03-22 10:46,00:48:29,542.62,542.62,161,137.81,,,1032,0.355,,,,,
Traditional Strength Training,2022-03-21 14:46,2022-03-21 15:22,00:35:28,420.5,420.5,170,145.07,,,608,0.286,,,,,
Tennis,2022-03-20 16:13,2022-03-20 17:48,01:34:16,787.47,787.47,144,121.11,2.25,1.43,4029,0.712,,,,,
Traditional Strength Training,2022-03-16 14:51,2022-03-16 15:44,00:52:49,549.43,549.43,162,135.28,,,1274,0.402,,,,,
Traditional Strength Training,2022-03-15 09:57,2022-03-15 10:48,00:51:15,515.3,515.3,152,133.8,,,593,0.193,,,,,
Traditional Strength Training,2022-03-14 14:32,2022-03-14 15:29,00:56:50,668.01,668.01,176,148.46,,,1032,0.303,,,,,
Traditional Strength Training,2022-03-10 13:43,2022-03-10 14:12,00:28:22,276.55,276.55,163,131.23,,,658,0.387,,,,,
Traditional Strength Training,2022-03-08 05:53,2022-03-08 06:50,00:57:16,466.08,466.08,151,121.79,,,707,0.206,,,,,
Traditional Strength Training,2022-03-07 06:49,2022-03-07 07:43,00:53:55,647.74,647.74,185,145.12,,,931,0.288,,,,,
Basketball,2022-03-03 21:01,2022-03-03 21:59,00:57:53,776,776,193,159.79,2.23,2.31,3157,0.909,,,,,
Running,2022-03-01 20:07,2022-03-01 20:47,00:40:23,224.01,224.01,192,161.51,1.77,2.63,2428,1,,,,,
Traditional Strength Training,2022-03-01 09:55,2022-03-01 10:47,00:52:07,566.81,566.81,159,135.89,,,656,0.21,,,,,
Traditional Strength Training,2022-02-28 14:24,2022-02-28 15:17,00:52:58,674.94,674.94,172,152.69,,,921,0.29,,,,,
Walking,2022-02-27 09:35,2022-02-27 09:53,00:18:00,147.26,147.26,150,106.35,0.69,2.3,1310,1.21,,,21.0,,
Walking,2022-02-26 12:37,2022-02-26 13:12,00:34:07,105.69,105.69,112,79.83,1.19,2.1,1735,0.848,,,1.0,18.34,
Basketball,2022-02-19 13:29,2022-02-19 13:59,00:30:26,402.47,402.47,177,157.46,0.988,1.95,1232,0.675,,,,,
Traditional Strength Training,2022-02-17 18:07,2022-02-17 19:48,01:41:05,1237,1237,183,150.69,,,3807,0.628,,,,,
Traditional Strength Training,2022-02-15 10:00,2022-02-15 10:54,00:54:04,697.94,697.94,178,154.65,,,1043,0.321,,,,,
Traditional Strength Training,2022-02-14 14:33,2022-02-14 15:28,00:55:48,609.85,609.85,160,137.03,,,1250,0.373,,,,,
Traditional Strength Training,2022-02-11 17:18,2022-02-11 17:59,00:40:38,543.47,543.47,182,159.25,,,1004,0.412,,,,,
Traditional Strength Training,2022-02-09 15:17,2022-02-09 16:17,00:59:27,642.67,642.67,162,136.69,,,1491,0.418,,,,,
Traditional Strength Training,2022-02-08 09:57,2022-02-08 10:48,00:51:40,567.59,567.59,166,137.71,,,1458,0.47,,,,,
Traditional Strength Training,2022-02-07 14:32,2022-02-07 15:23,00:51:22,622.58,622.58,173,147.77,,,911,0.296,,,,,
Traditional Strength Training,2022-02-02 14:13,2022-02-02 15:11,00:57:42,576.84,576.84,155,131.69,,,1212,0.35,,,,,
Traditional Strength Training,2022-02-01 09:57,2022-02-01 10:52,00:55:31,588.38,588.38,159,134.87,,,1000,0.3,,,,,
Traditional Strength Training,2022-01-31 14:20,2022-01-31 15:08,00:48:10,595.2,595.2,173,149.83,,,742,0.257,,,,,
Stair Climbing,2022-01-28 15:35,2022-01-28 16:20,00:45:44,706.51,706.51,189,179.12,,,2306,0.84,,,,,
Traditional Strength Training,2022-01-26 14:48,2022-01-26 15:42,00:54:40,628.32,628.32,171,144.07,,,1215,0.37,,,,,
Traditional Strength Training,2022-01-25 09:53,2022-01-25 10:45,00:52:40,543.6,543.6,170,134.79,,,1034,0.327,,,,,
Traditional Strength Training,2022-01-24 14:53,2022-01-24 15:35,00:42:47,569.86,569.86,186,158.74,,,1049,0.409,,,,,
Traditional Strength Training,2022-01-21 15:21,2022-01-21 16:14,00:52:54,557.56,557.56,154,134.16,,,719,0.227,,,,,
Traditional Strength Training,2022-01-20 16:54,2022-01-20 17:41,00:47:07,549.67,549.67,168,143.78,,,865,0.306,,,,,
Traditional Strength Training,2022-01-19 14:38,2022-01-19 15:19,00:41:24,538.81,538.81,185,155.18,,,667,0.269,,,,,
Traditional Strength Training,2022-01-18 09:34,2022-01-18 10:27,00:53:45,553.93,553.93,160,133.26,,,1091,0.338,,,,,
Traditional Strength Training,2022-01-14 14:38,2022-01-14 15:23,00:45:16,534.62,534.62,175,148.63,,,835,0.307,,,,,
Traditional Strength Training,2022-01-12 14:25,2022-01-12 15:15,00:49:27,505.76,505.76,168,138.93,,,635,0.214,,,,,
Traditional Strength Training,2022-01-11 10:46,2022-01-11 11:32,00:46:07,534.36,534.36,178,149.83,,,731,0.264,,,,,
Traditional Strength Training,2022-01-10 16:57,2022-01-10 17:49,00:51:22,481.04,481.04,144,129.44,,,736,0.239,,,,,
Climbing,2022-01-06 14:26,2022-01-06 15:31,00:43:01,487.29,487.29,171,142.92,,,643,0.249,,,,,
Basketball,2022-01-04 16:16,2022-01-04 17:31,01:07:23,839.84,839.84,178,154.57,2.38,2.12,3848,0.952,,,,,
Climbing,2022-01-02 17:17,2022-01-02 17:59,00:42:02,460.2,460.2,174,143.68,,,133,0.053,,,,,
Soccer,2021-12-26 16:28,2021-12-26 17:05,00:34:11,328.27,328.27,179,150.44,1.77,3.1,2909,1.42,,,,,
